ID_Kejadian,Tanggal_Kejadian,ID_Mesin,Usia_Mesin_Tahun,Penyebab_Downtime,Durasi_Downtime_Menit,Beban_Kerja_Harian_Persen,Shift_Kejadian,Biaya_Perbaikan_Ribu_Rupiah
DT0285,2025-10-31,M08,11.5,Kesalahan Operator,74.9,57.6,Pagi,1605.0
DT0286,2025-12-15,M06,12.8,Kerusakan Mekanis,79.6,81.6,Siang,
DT0287,2025-12-15,M02,8.7,Kerusakan Mekanis,65.1,59.5,Siang,907.0
DT0288,2025-08-04,M07,8.7,Kerusakan Mekanis,65.1,67.3,Pagi,1062.0
DT0289,2025-12-18,M10,5.8,Kerusakan Elektrikal,55.0,79.9,Siang,691.0
DT0290,2025-08-08,M02,8.2,Kekurangan Bahan Baku,63.4,70.1,Siang,1005.0
DT0291,2026-01-15,M04,11.6,Kesalahan Operator,75.2,64.7,Pagi,1795.0
DT0292,2025-09-25,M10,6.3,Kerusakan Mekanis,56.8,51.0,Pagi,879.0
DT0293,2026-01-14,M10,6.8,Kerusakan Mekanis,58.6,86.1,Siang,1427.0
DT0294,2026-01-30,M05,6.6,Kerusakan Mekanis,57.8,66.5,Malam,973.0
DT0295,2025-08-19,M03,-3.3,Kerusakan Mekanis,46.3,81.3,Siang,791.0
DT0296,2025-10-09,M03,2.8,Kerusakan Elektrikal,44.4,79.3,Siang,
DT0297,2025-08-21,M05,-6.8,Kesalahan Operator,58.5,88.4,Siang,1364.0
DT0298,2026-01-25,M04,11.5,Kerusakan Mekanis,74.9,68.5,Malam,1050.0
DT0299,2025-10-30,M06,12.6,Pergantian Alat (Tooling Change),78.8,66.8,Malam,1173.0
DT0300,2026-01-01,M01,6.8,Kerusakan Elektrikal,58.4,55.4,Siang,1311.0
DT0301,2025-11-16,M01,6.5,Pergantian Alat (Tooling Change),57.5,63.9,Pagi,676.0
DT0302,2026-01-03,M01,6.2,Pergantian Alat (Tooling Change),56.4,77.1,Siang,757.0
DT0303,2025-11-18,M08,10.7,Pergantian Alat (Tooling Change),72.1,59.7,Malam,1628.0
DT0304,2025-08-09,M10,6.3,Kerusakan Elektrikal,56.9,76.7,Siang,
DT0305,2025-10-29,M02,8.1,Kerusakan Mekanis,63.0,94.0,Siang,504.0
DT0306,2025-11-28,M10,6.4,Kerusakan Mekanis,57.1,65.3,Malam,1676.0
DT0307,2026-01-27,M02,8.9,Kerusakan Mekanis,65.7,52.3,Pagi,1230.0
DT0308,2025-12-31,M01,7.1,Kerusakan Elektrikal,59.5,65.8,Pagi,841.0
DT0309,2025-11-02,M03,3.0,Kesalahan Operator,45.1,50.7,Pagi,424.0
DT0310,2025-12-26,M03,-2.3,Kerusakan Elektrikal,42.8,92.0,Malam,694.0
DT0311,2026-01-19,M10,6.4,Kerusakan Elektrikal,57.1,73.3,Malam,725.0
DT0312,2026-01-08,M02,8.8,Kerusakan Mekanis,65.5,61.1,Malam,1701.0
DT0313,2026-01-28,M10,6.0,Kekurangan Bahan Baku,55.7,63.6,Pagi,476.0
DT0314,2025-10-05,M09,6.0,Kerusakan Mekanis,55.7,54.3,Malam,654.0
DT0315,2025-10-21,M05,7.0,Kerusakan Mekanis,59.3,87.2,Pagi,1067.0
DT0316,2025-08-03,M07,8.9,Kerusakan Mekanis,65.9,99.6,Malam,1572.0
DT0317,2025-08-25,M06,12.6,Pergantian Alat (Tooling Change),78.9,49.6,Siang,1571.0
DT0318,2025-12-28,M10,6.5,Kerusakan Mekanis,57.4,87.6,Pagi,749.0
DT0319,2025-09-29,M03,2.9,Kesalahan Operator,45.0,68.3,Siang,205.0
DT0320,2025-10-20,M10,6.3,Kerusakan Elektrikal,56.7,91.0,Malam,1753.0
DT0321,2025-10-05,M05,7.3,Kekurangan Bahan Baku,60.2,44.5,Siang,1521.0
DT0322,2026-01-17,M10,6.0,Pergantian Alat (Tooling Change),55.6,75.4,Malam,997.0
DT0323,2026-01-10,M10,6.3,Pergantian Alat (Tooling Change),56.7,65.9,Pagi,
DT0324,2025-12-14,M09,6.0,Kerusakan Mekanis,55.8,81.9,Malam,
DT0325,2026-01-24,M08,10.3,Kerusakan Mekanis,70.8,72.9,Siang,1763.0
DT0326,2025-11-09,M05,7.2,Kerusakan Mekanis,60.1,72.3,Siang,
DT0327,2025-09-01,M07,8.6,Kerusakan Elektrikal,64.9,70.4,Malam,814.0
DT0328,2025-11-25,M03,2.9,Kerusakan Mekanis,44.7,95.4,Pagi,293.0
DT0329,2025-08-04,M03,2.8,Kekurangan Bahan Baku,44.4,69.4,Malam,1143.0
DT0330,2025-10-16,M08,10.8,Kerusakan Mekanis,72.4,85.0,Pagi,1209.0
DT0331,2025-12-31,M08,11.0,Kesalahan Operator,73.1,81.4,Malam,1239.0
DT0332,2025-09-02,M03,2.9,Pergantian Alat (Tooling Change),44.8,85.3,Malam,
DT0333,2025-11-11,M10,6.0,Kekurangan Bahan Baku,55.7,56.8,Siang,1163.0
DT0334,2025-12-21,M07,8.2,Kekurangan Bahan Baku,63.5,82.6,Pagi,1025.0
DT0335,2025-12-16,M10,6.2,Kerusakan Mekanis,56.4,77.1,Pagi,
DT0336,2025-11-17,M05,-6.6,Kerusakan Mekanis,57.8,54.2,Pagi,385.0
DT0337,2025-09-30,M06,12.8,Kerusakan Elektrikal,79.5,68.8,Pagi,1577.0
DT0338,2025-09-14,M07,8.1,Kesalahan Operator,63.2,100.0,Siang,1307.0
DT0339,2025-08-30,M02,8.2,Kerusakan Mekanis,63.5,66.1,Malam,1322.0
DT0340,2025-12-13,M03,3.8,Kerusakan Elektrikal,48.1,66.5,Malam,
DT0341,2025-09-18,M10,6.8,Pergantian Alat (Tooling Change),58.5,78.8,Malam,1189.0
DT0342,2025-11-27,M07,8.4,Kerusakan Mekanis,64.2,63.9,Malam,1578.0
DT0343,2025-08-09,M06,12.9,Kesalahan Operator,80.0,74.1,Siang,1745.0
DT0344,2025-09-23,M01,6.9,Kesalahan Operator,59.0,65.3,Pagi,1352.0
DT0345,2025-10-10,M01,6.6,Kerusakan Mekanis,57.8,78.0,Siang,1114.0
DT0346,2025-12-20,M06,12.8,Kerusakan Elektrikal,79.4,71.1,Malam,1051.0
DT0347,2025-08-19,M01,6.5,Kerusakan Mekanis,57.6,100.0,Siang,1184.0
DT0348,2025-10-26,M02,8.9,Kerusakan Elektrikal,65.8,72.7,Pagi,930.0
DT0349,2025-10-24,M06,13.1,Pergantian Alat (Tooling Change),80.5,68.7,Siang,
DT0350,2025-09-28,M10,6.7,Kerusakan Mekanis,58.1,87.4,Malam,778.0
DT0351,2025-12-25,M09,6.1,Kesalahan Operator,56.1,51.1,Siang,548.0
DT0352,2026-01-27,M05,7.5,Kesalahan Operator,61.0,97.4,Siang,1368.0
DT0353,2025-08-09,M10,6.2,Kekurangan Bahan Baku,56.4,57.2,Siang,1437.0
DT0354,2026-01-18,M07,9.0,Kerusakan Mekanis,66.2,89.9,Siang,486.0
DT0355,2026-01-12,M10,6.1,Kerusakan Mekanis,56.0,93.8,Pagi,958.0
DT0356,2026-01-02,M03,2.5,Kerusakan Elektrikal,43.3,64.1,Pagi,
DT0357,2025-08-23,M06,13.3,Kerusakan Mekanis,81.3,65.6,Pagi,1908.0
DT0358,2025-10-11,M10,6.4,Kerusakan Mekanis,57.1,70.4,Malam,158.0
DT0359,2025-11-29,M10,6.4,Kerusakan Mekanis,57.0,81.3,Pagi,1000.0
DT0360,2025-09-07,M09,5.9,Kekurangan Bahan Baku,55.4,57.0,Malam,
DT0361,2025-09-14,M02,8.3,Kerusakan Mekanis,63.6,70.4,Malam,953.0
DT0362,2025-11-12,M07,8.1,Kerusakan Mekanis,63.2,67.3,Malam,870.0
DT0363,2026-01-02,M01,6.7,Kekurangan Bahan Baku,58.1,54.7,Malam,1405.0
DT0364,2025-08-30,M04,11.5,Kerusakan Mekanis,75.0,56.3,Malam,1701.0
DT0365,2025-08-02,M01,6.0,Kerusakan Mekanis,55.9,73.9,Malam,1146.0
DT0366,2026-01-30,M08,11.3,Kerusakan Mekanis,74.1,73.7,Siang,843.0
DT0367,2025-10-17,M08,10.6,Kerusakan Mekanis,71.9,60.5,Malam,1487.0
DT0368,2025-08-14,M01,7.0,Kerusakan Mekanis,59.2,73.2,Siang,939.0
DT0369,2026-01-24,M10,6.0,Kerusakan Mekanis,55.7,62.3,Pagi,726.0
DT0370,2025-09-20,M09,6.1,Kerusakan Elektrikal,56.0,91.6,Siang,1103.0
DT0371,2025-08-21,M09,6.3,Kerusakan Mekanis,56.8,70.5,Pagi,955.0
DT0372,2025-12-01,M05,7.1,Kerusakan Mekanis,59.6,88.5,Pagi,
DT0373,2025-12-18,M10,6.1,Kekurangan Bahan Baku,56.2,46.6,Pagi,1509.0
DT0374,2025-08-24,M10,6.4,Kekurangan Bahan Baku,57.0,76.8,Malam,1047.0
DT0375,2025-12-12,M06,12.9,Kerusakan Mekanis,79.8,80.9,Pagi,694.0
DT0376,2025-10-09,M04,11.5,Kesalahan Operator,75.0,69.9,Siang,980.0
DT0377,2025-09-28,M08,10.4,Pergantian Alat (Tooling Change),71.2,63.9,Malam,946.0
DT0378,2025-12-01,M01,6.4,Kerusakan Elektrikal,57.3,69.7,Malam,1320.0
DT0379,2025-08-12,M04,11.4,Kerusakan Elektrikal,74.7,83.1,Pagi,
DT0380,2025-08-31,M01,6.6,Kerusakan Mekanis,58.0,53.8,Malam,1388.0
DT0381,2025-12-31,M08,11.2,Kerusakan Elektrikal,74.0,82.5,Malam,746.0
DT0382,2026-01-28,M01,6.9,Kerusakan Elektrikal,58.9,76.8,Malam,435.0
DT0383,2026-01-13,M08,10.5,Kesalahan Operator,71.5,68.1,Siang,1110.0
DT0384,2025-12-22,M06,13.2,Kesalahan Operator,81.1,68.7,Siang,1216.0
DT0385,2025-08-24,M05,6.8,Kerusakan Mekanis,58.7,72.9,Pagi,626.0
DT0386,2025-09-26,M07,8.6,Kesalahan Operator,64.7,96.9,Pagi,744.0
DT0387,2026-01-03,M01,6.3,Kekurangan Bahan Baku,56.9,77.2,Malam,717.0
DT0388,2025-12-09,M09,5.9,Kekurangan Bahan Baku,55.3,57.9,Malam,615.0
DT0389,2025-12-31,M03,3.2,Kesalahan Operator,45.8,65.5,Malam,235.0
DT0390,2025-10-15,M09,5.8,Kerusakan Mekanis,54.9,54.8,Siang,
DT0391,2025-11-14,M09,6.0,Kerusakan Mekanis,55.9,43.7,Siang,1490.0
DT0392,2025-12-13,M06,12.8,Pergantian Alat (Tooling Change),79.6,54.6,Pagi,
DT0393,2025-12-22,M06,12.4,Kerusakan Mekanis,78.1,73.8,Pagi,1290.0
DT0394,2025-12-11,M10,5.7,Kekurangan Bahan Baku,54.6,91.1,Pagi,1154.0
DT0395,2025-08-08,M05,7.1,Pergantian Alat (Tooling Change),59.7,86.9,Siang,
DT0396,2025-09-07,M04,12.4,Pergantian Alat (Tooling Change),78.1,54.7,Pagi,2186.0
DT0397,2025-10-30,M10,6.3,Kerusakan Mekanis,56.9,60.0,Siang,
DT0398,2025-12-06,M05,7.1,Kekurangan Bahan Baku,59.4,57.9,Malam,
DT0399,2026-01-24,M04,11.3,Kerusakan Mekanis,74.2,33.3,Malam,
DT0400,2025-09-25,M01,7.1,Pergantian Alat (Tooling Change),59.5,69.5,Malam,
DT0401,2025-12-20,M04,11.4,Kerusakan Elektrikal,74.7,84.0,Pagi,
DT0402,2025-11-30,M03,3.2,Kekurangan Bahan Baku,45.9,68.2,Malam,1049.0
DT0403,2025-09-19,M08,10.9,Pergantian Alat (Tooling Change),73.0,53.0,Malam,1879.0
DT0404,2025-09-01,M06,12.9,Kerusakan Elektrikal,79.8,59.3,Siang,1135.0
DT0405,2025-11-23,M04,11.7,Kerusakan Elektrikal,75.7,67.1,Pagi,1640.0
DT0406,2025-09-30,M10,6.4,Kerusakan Elektrikal,57.0,83.6,Malam,
DT0407,2025-09-08,M05,7.0,Kerusakan Elektrikal,59.1,69.3,Malam,1219.0
DT0408,2025-09-10,M05,7.2,Kekurangan Bahan Baku,59.8,81.5,Siang,
DT0409,2025-09-10,M08,10.5,Pergantian Alat (Tooling Change),71.6,70.8,Pagi,1078.0
DT0410,2025-08-17,M03,-2.8,Kerusakan Mekanis,44.5,75.6,Siang,1075.0
DT0411,2025-09-04,M05,7.3,Kerusakan Mekanis,60.3,57.9,Malam,985.0
DT0412,2026-01-26,M08,10.8,Kerusakan Elektrikal,72.6,61.7,Siang,1854.0
DT0413,2025-09-04,M04,11.4,Kerusakan Mekanis,74.8,53.2,Pagi,1864.0
DT0414,2025-10-14,M05,7.2,Kekurangan Bahan Baku,59.9,81.0,Malam,448.0
DT0415,2025-10-31,M01,6.9,Kerusakan Elektrikal,58.8,67.6,Malam,
DT0416,2025-12-07,M08,10.4,Kerusakan Mekanis,71.0,20.0,Malam,897.0
DT0417,2025-09-26,M09,6.2,Kekurangan Bahan Baku,56.6,79.2,Malam,
DT0418,2025-12-30,M07,8.4,Kerusakan Mekanis,64.2,86.6,Siang,
DT0419,2025-12-21,M06,12.9,Kekurangan Bahan Baku,79.9,59.8,Pagi,1108.0
DT0420,2025-11-02,M09,6.0,Kerusakan Mekanis,55.8,79.2,Pagi,
DT0421,2026-01-11,M09,6.2,Kerusakan Mekanis,56.3,68.9,Pagi,1246.0
DT0422,2025-10-03,M05,6.3,Kerusakan Mekanis,56.8,40.2,Malam,
DT0423,2025-10-29,M07,8.1,Kerusakan Elektrikal,63.1,100.0,Malam,645.0
DT0424,2025-11-18,M10,6.4,Kekurangan Bahan Baku,57.2,68.9,Siang,1528.0
DT0425,2025-09-05,M03,3.6,Kerusakan Elektrikal,47.5,75.0,Malam,620.0
DT0426,2025-08-15,M08,10.9,Kerusakan Mekanis,72.8,62.6,Pagi,1354.0
DT0427,2026-01-30,M04,11.3,Kerusakan Elektrikal,74.4,67.6,Malam,1503.0
DT0428,2025-08-09,M01,6.7,Kerusakan Elektrikal,58.1,74.4,Siang,418.0
DT0429,2025-08-09,M05,6.6,Pergantian Alat (Tooling Change),57.8,56.4,Siang,925.0
DT0430,2025-08-19,M06,13.1,Kerusakan Mekanis,80.4,97.4,Siang,2066.0
DT0431,2025-11-09,M08,10.8,Kekurangan Bahan Baku,72.4,84.6,Pagi,1581.0
DT0432,2025-09-19,M02,8.8,Kekurangan Bahan Baku,65.6,79.8,Siang,1232.0
DT0433,2025-09-10,M06,12.6,Kekurangan Bahan Baku,79.0,69.9,Siang,1745.0
DT0434,2026-01-05,M07,8.7,Kerusakan Elektrikal,65.2,60.6,Siang,1610.0
DT0435,2026-01-19,M07,7.9,Kerusakan Mekanis,62.3,87.5,Malam,
DT0436,2026-01-08,M09,6.0,Kerusakan Mekanis,55.8,81.2,Pagi,
DT0437,2025-09-29,M08,10.9,Pergantian Alat (Tooling Change),72.9,66.0,Pagi,822.0
DT0438,2025-08-16,M05,6.8,Kerusakan Elektrikal,58.5,55.7,Siang,1392.0
DT0439,2026-01-23,M03,3.0,Kerusakan Elektrikal,45.1,48.4,Pagi,1350.0
DT0440,2025-11-08,M09,6.1,Kerusakan Elektrikal,56.2,72.4,Malam,924.0
DT0441,2026-01-26,M09,6.3,Kerusakan Mekanis,56.9,68.3,Malam,1609.0
DT0442,2025-08-31,M02,8.7,Kerusakan Mekanis,65.2,89.8,Siang,1224.0
DT0443,2026-01-20,M05,7.0,Kerusakan Elektrikal,59.2,86.9,Malam,
DT0444,2025-09-26,M08,11.0,Kerusakan Mekanis,73.3,72.6,Siang,
DT0445,2025-12-24,M07,8.0,Kesalahan Operator,62.6,70.8,Malam,1249.0
DT0446,2025-08-21,M09,5.8,Kerusakan Mekanis,55.0,54.7,Pagi,
DT0447,2025-12-14,M03,2.4,Kekurangan Bahan Baku,43.2,87.9,Malam,836.0
DT0448,2025-10-26,M10,6.4,Kerusakan Mekanis,57.0,71.1,Malam,823.0
DT0449,2026-01-22,M03,3.0,Pergantian Alat (Tooling Change),45.1,81.1,Siang,
DT0450,2025-08-28,M01,7.0,Pergantian Alat (Tooling Change),59.4,89.7,Malam,1189.0
DT0451,2025-09-10,M08,10.9,Kerusakan Mekanis,72.7,63.5,Pagi,
DT0452,2025-11-25,M10,6.0,Kerusakan Elektrikal,55.8,59.6,Malam,1267.0
DT0453,2025-12-27,M04,11.6,Kesalahan Operator,75.2,100.0,Malam,
DT0454,2026-01-10,M02,7.9,Kerusakan Elektrikal,62.5,80.9,Malam,290.0
DT0455,2025-08-21,M09,5.9,Kerusakan Mekanis,55.4,67.8,Malam,
DT0456,2025-08-02,M01,5.9,Pergantian Alat (Tooling Change),55.5,90.6,Pagi,965.0
DT0457,2025-10-06,M07,8.5,Kerusakan Mekanis,64.4,67.4,Pagi,1126.0
DT0458,2025-08-18,M02,8.4,Kerusakan Mekanis,64.2,76.9,Siang,1021.0
DT0459,2025-10-13,M07,8.3,Pergantian Alat (Tooling Change),63.9,63.5,Pagi,1291.0
DT0460,2025-10-27,M02,8.2,Kesalahan Operator,63.5,71.7,Siang,918.0
DT0461,2026-01-30,M04,11.3,Kerusakan Mekanis,74.4,67.9,Siang,
DT0462,2025-08-07,M05,7.1,Kerusakan Mekanis,59.5,60.7,Malam,1610.0
DT0463,2025-09-28,M10,5.8,Kerusakan Mekanis,54.9,75.6,Pagi,755.0
DT0464,2025-10-01,M08,10.9,Pergantian Alat (Tooling Change),72.9,62.4,Malam,995.0
DT0465,2025-11-10,M10,6.0,Pergantian Alat (Tooling Change),55.6,80.6,Pagi,1054.0
DT0466,2025-09-28,M06,12.2,Kesalahan Operator,77.4,67.4,Pagi,1230.0
DT0467,2025-11-24,M03,3.2,Kerusakan Mekanis,46.0,46.2,Pagi,961.0
DT0468,2026-01-03,M05,7.3,Kerusakan Mekanis,60.2,81.3,Malam,420.0
DT0469,2025-12-03,M06,12.5,Kerusakan Elektrikal,78.6,81.6,Malam,
DT0470,2025-11-29,M06,12.5,Kerusakan Mekanis,78.5,100.0,Malam,1774.0
DT0471,2025-08-22,M10,6.1,Kerusakan Mekanis,56.2,72.3,Pagi,
DT0472,2026-01-10,M09,5.8,Kerusakan Mekanis,54.9,74.7,Siang,999.0
DT0473,2025-11-11,M02,8.3,Kekurangan Bahan Baku,63.8,79.2,Malam,447.0
DT0474,2025-08-31,M08,10.9,Kekurangan Bahan Baku,72.8,87.3,Pagi,1099.0
DT0475,2025-11-25,M03,3.5,Pergantian Alat (Tooling Change),46.9,86.4,Siang,
DT0476,2025-10-29,M06,12.6,Kerusakan Mekanis,78.8,76.8,Pagi,1324.0
DT0477,2026-01-13,M10,6.5,Kekurangan Bahan Baku,57.5,71.5,Siang,928.0
DT0478,2025-11-27,M09,6.1,Kerusakan Elektrikal,56.2,84.6,Malam,
DT0479,2026-01-23,M05,6.4,Kerusakan Mekanis,57.0,70.9,Malam,1387.0
DT0480,2026-01-26,M01,6.6,Kerusakan Elektrikal,57.9,52.7,Pagi,1481.0
DT0481,2025-09-13,M10,6.2,Pergantian Alat (Tooling Change),56.3,49.5,Siang,859.0
DT0482,2025-09-23,M10,6.6,Kerusakan Mekanis,58.0,67.6,Siang,1771.0
DT0483,2025-09-08,M04,12.0,Pergantian Alat (Tooling Change),76.7,73.8,Malam,1948.0
DT0484,2025-09-12,M02,8.6,Kerusakan Elektrikal,64.9,100.0,Malam,1268.0
DT0485,2025-12-04,M06,13.0,Kekurangan Bahan Baku,80.4,70.2,Malam,
DT0486,2026-01-21,M09,6.0,Pergantian Alat (Tooling Change),55.6,72.7,Pagi,691.0
DT0487,2025-10-29,M05,7.2,Kekurangan Bahan Baku,59.9,65.9,Malam,1136.0
DT0488,2025-12-26,M01,6.7,Kerusakan Elektrikal,58.0,81.3,Malam,531.0
DT0489,2025-12-15,M05,7.2,Kerusakan Mekanis,59.9,76.2,Malam,782.0
DT0490,2025-09-17,M06,13.0,Kerusakan Elektrikal,80.4,62.4,Siang,786.0
DT0491,2026-01-03,M10,6.4,Pergantian Alat (Tooling Change),57.2,56.8,Malam,594.0
DT0492,2025-10-27,M09,5.8,Kesalahan Operator,55.0,66.0,Pagi,1046.0
DT0493,2025-08-02,M07,8.2,Kekurangan Bahan Baku,63.6,59.3,Siang,775.0
DT0494,2025-12-09,M05,7.1,Pergantian Alat (Tooling Change),59.6,68.5,Malam,
DT0495,2026-01-08,M10,6.5,Kekurangan Bahan Baku,57.4,74.1,Siang,
DT0496,2025-09-14,M03,2.9,Kekurangan Bahan Baku,44.9,64.5,Pagi,893.0
DT0497,2025-09-18,M04,11.4,Kerusakan Mekanis,74.8,93.8,Siang,1134.0
DT0498,2025-12-13,M09,6.1,Kerusakan Elektrikal,56.0,89.4,Pagi,1091.0
DT0499,2026-01-25,M10,6.1,Kerusakan Elektrikal,56.2,68.6,Malam,762.0
DT0500,2025-09-17,M09,-5.9,Kerusakan Elektrikal,55.5,57.5,Siang,711.0
DT0501,2025-10-18,M08,11.3,Kerusakan Elektrikal,74.4,71.6,Siang,990.0
DT0502,2025-12-03,M10,6.1,Kesalahan Operator,55.9,70.0,Siang,482.0
DT0503,2026-01-04,M02,8.7,Pergantian Alat (Tooling Change),65.0,71.1,Pagi,1048.0
DT0504,2025-08-07,M07,8.4,Pergantian Alat (Tooling Change),64.2,66.0,Pagi,774.0
DT0505,2025-09-06,M05,6.5,Pergantian Alat (Tooling Change),57.5,56.3,Siang,1360.0
DT0506,2026-01-11,M06,12.3,Pergantian Alat (Tooling Change),77.8,72.5,Siang,1170.0
DT0507,2025-11-05,M03,2.8,Kekurangan Bahan Baku,44.6,66.7,Siang,
DT0508,2025-12-17,M05,6.3,Kerusakan Mekanis,56.7,68.1,Siang,1710.0
DT0509,2025-08-12,M03,-3.4,Pergantian Alat (Tooling Change),46.6,73.4,Siang,510.0
DT0510,2025-08-17,M07,8.3,Kerusakan Mekanis,63.6,71.0,Pagi,1021.0
DT0511,2025-12-13,M10,6.1,Kekurangan Bahan Baku,56.0,73.1,Siang,1275.0
DT0512,2025-10-08,M01,7.0,Kerusakan Mekanis,59.2,66.0,Pagi,
DT0513,2026-01-20,M10,6.2,Kerusakan Elektrikal,56.3,77.4,Malam,633.0
DT0514,2025-10-18,M07,-8.6,Kerusakan Mekanis,64.7,61.2,Malam,1319.0
DT0515,2026-01-02,M01,6.5,Kekurangan Bahan Baku,57.3,55.7,Pagi,1484.0
DT0516,2025-11-08,M06,12.7,Pergantian Alat (Tooling Change),79.2,58.7,Malam,938.0
DT0517,2025-12-03,M02,8.8,Kerusakan Mekanis,65.5,61.8,Malam,
DT0518,2025-11-28,M09,5.8,Kerusakan Mekanis,54.9,52.7,Malam,1264.0
DT0519,2025-08-22,M03,3.0,Kesalahan Operator,45.3,46.6,Malam,1152.0
DT0520,2025-12-24,M01,5.9,Kerusakan Mekanis,55.4,79.6,Pagi,567.0
