Employee_ID,Age,Department,Job_Level,Years_at_Company,Monthly_Hours_Worked,Remote_Work,Meetings_per_Week,Tasks_Completed_Per_Day,Overtime_Hours_Per_Week,Work_Life_Balance,Job_Satisfaction,Productivity_Score,Annual_Salary,Absences_Per_Year,Office_Branch
2548,35,Finance,Entry,22 tahun,122.0,Hybrid,5,6,12,Poor,3,66.60573924459771,42592.88619150408,11,Branch_30
2549,57,Sales,Mid,24 tahun,190.0,Yes,1,17,12,Good,4,74.89860443905867,55556.86920212888,19,Branch_23
2550,37,IT,Entry,14 tahun,196.0,No,1,18,14,Average,2,100.0,42516.910074550426,8,Branch_20
2551,24,IT,Entry,17 tahun,176.0,No,13,19,13,Average,2,56.49334076643724,20881.57739073449,0,Branch_18
2552,43,HR,Mid,20 tahun,143.0,Yes,2,6,0,Average,6,33.62403241377676,21092.971411305603,10,Branch_18
2553,26,Sales,Mid,26 tahun,213.0,Hybrid,0,4,11,Good,2,76.94280295427626,74597.21464702183,9,Branch_2
2554,23,HR,Mid,5 tahun,188.0,Yes,10,15,9,Poor,1,74.09640423583605,82862.30528738908,7,Branch_4
2555,33,Operations,Entry,4 tahun,142.0,No,9,12,10,Average,9,65.54806201050086,20000.0,17,Branch_30
2556,23,IT,Mid,29 tahun,163.0,Hybrid,1,10,13,Excellent,1,54.690932771415135,88906.94857391549,2,Branch_33
2557,58,Finance,Manager,22 tahun,173.0,Hybrid,1,7,9,Average,4,46.6581544640739,38801.25981700055,0,Branch_18
2558,40,Finance,Mid,13 tahun,146.0,No,13,7,10,Good,3,83.73750243579839,36543.17533083279,2,Branch_19
2559,45,Finance,Mid,7 tahun,182.0,Hybrid,2,16,5,Excellent,7,59.45791842334955,32586.49097914907,15,Branch_28
2560,26,Sales,Manager,11 tahun,137.0,No,6,6,11,Average,1,58.51344683492779,26096.780396786704,8,Branch_20
2561,47,Marketing,Mid,11 tahun,159.0,No,12,8,0,Average,4,56.17663794658604,54213.86864703604,15,Branch_33
2562,49,Operations,Entry,24 tahun,203.0,No,9,10,7,Good,6,60.43034254875561,66163.07074940325,6,Branch_12
2563,56,Operations,Mid,24 tahun,189.0,Yes,10,18,4,Average,9,64.39511743776946,31306.21042863726,13,Branch_15
2564,40,HR,Manager,21 tahun,213.0,Yes,0,12,10,Poor,7,94.08815159669656,28368.504336463237,10,Branch_2
2565,52,Marketing,Senior,24 tahun,189.0,No,12,5,8,Poor,2,94.70574386734197,48411.309141770165,12,Branch_29
2566,40,Marketing,Senior,12 tahun,136.0,Hybrid,3,12,10,Good,9,44.33545537596606,250000.0,15,Branch_10
2567,40,IT,Manager,3 tahun,172.0,Hybrid,0,16,2,Average,9,71.28858958850977,42720.91987025789,12,Branch_2
2568,41,HR,Mid,12 tahun,155.0,No,4,18,12,Average,3,64.46080098200629,40192.62009415333,10,Branch_11
2569,38,IT,Senior,3 tahun,183.0,Hybrid,5,14,13,Poor,3,80.89198160323552,51335.26172994305,0,Branch_13
2570,33,Marketing,Mid,1 tahun,198.0,Yes,7,17,7,Excellent,2,100.0,108719.9968771792,3,Branch_10
2571,56,Operations,Mid,10 tahun,171.0,No,0,16,7,Poor,3,100.0,39933.4454143445,4,Branch_14
2572,47,IT,Mid,1 tahun,200.0,No,11,8,0,Excellent,6,72.99904305232839,104666.22656472048,11,Branch_18
2573,29,IT,Entry,1 tahun,144.0,Hybrid,1,6,9,Good,9,52.35503794021215,31698.60333224449,13,Branch_9
2574,46,Sales,Entry,26 tahun,163.0,Yes,8,5,12,Good,5,73.71226314610169,31703.294400256014,11,Branch_28
2575,46,HR,Entry,11 tahun,213.0,No,8,15,1,Average,1,100.0,40151.92835112786,15,Branch_3
2576,43,HR,Mid,16 tahun,159.0,Yes,14,19,1,Average,9,68.31206935873304,56142.42837412,3,Branch_20
2577,34,Marketing,Senior,3 tahun,200.0,No,5,18,6,Poor,9,100.0,119475.11727882494,7,Branch_6
2578,36,Finance,Manager,24 tahun,188.0,Hybrid,5,5,13,Good,1,99.10436100459528,62322.46192914624,2,Branch_27
2579,44,IT,Entry,25 tahun,163.0,No,4,7,4,Average,3,74.10899131835674,62050.641347511526,1,Branch_2
2580,49,HR,Mid,3 tahun,167.0,Hybrid,5,14,14,Average,4,97.22895847350604,53967.5983841503,10,Branch_29
2581,34,Finance,Mid,29 tahun,176.0,No,2,19,5,Average,8,60.10805104519581,34695.8438391763,4,Branch_3
2582,53,HR,Mid,29 tahun,161.0,Hybrid,12,4,3,Average,3,71.05912638902443,93567.63176704648,9,Branch_16
2583,32,Operations,Senior,8 tahun,154.0,No,2,10,11,Average,6,72.91772219389935,49456.01607311052,13,Branch_30
2584,35,Marketing,Senior,27 tahun,130.0,Yes,11,14,12,Good,7,90.67467137233288,26986.30213778669,5,Branch_2
2585,56,Operations,Manager,13 tahun,147.0,Yes,12,5,3,Excellent,2,78.8212758828855,56756.47105262395,5,Branch_17
2586,56,IT,Entry,16 tahun,163.0,Yes,7,5,5,Average,5,91.99848178246594,44975.22852982753,15,Branch_12
2587,44,Sales,Manager,15 tahun,139.0,No,13,17,12,Good,4,49.42335542058967,41303.73264204634,3,Branch_35
2588,34,Marketing,Senior,10 tahun,121.0,Yes,0,16,2,Average,4,50.54106254942266,33851.286651080096,1,Branch_1
2589,27,Marketing,Senior,17 tahun,152.0,No,3,15,5,Poor,1,51.08433164410389,66422.8587384627,3,Branch_15
2590,50,Marketing,Mid,3 tahun,155.0,No,12,17,6,Average,5,66.0135144504942,72885.23359832398,12,Branch_26
2591,36,Finance,Manager,14 tahun,129.0,No,1,9,6,Good,7,80.81660176107964,56190.32605796144,4,Branch_21
2592,26,Marketing,Entry,1 tahun,179.0,Yes,11,5,14,Average,8,63.27986491177857,65571.7017863194,1,Branch_31
2593,54,Sales,Senior,26 tahun,164.0,Yes,6,4,8,Average,8,92.2603366613204,64670.88228299351,7,Branch_25
2594,23,Operations,Mid,9 tahun,202.0,Hybrid,9,7,4,Average,7,90.05000350661855,68240.93990032139,1,Branch_23
2595,54,IT,Entry,19 tahun,177.0,Hybrid,4,6,8,Average,9,71.08767795136052,43250.95148347241,11,Branch_24
2596,46,HR,Senior,26 tahun,144.0,Hybrid,12,6,2,Average,4,66.6673364523896,73805.82180732898,19,Branch_28
2597,48,Finance,Senior,10 tahun,210.0,Yes,4,4,2,Poor,4,79.58440830504765,46910.31706579543,12,Branch_21
2598,46,Marketing,Mid,21 tahun,154.0,Yes,10,13,5,Good,7,83.8129569562755,44895.17952969312,7,Branch_18
2599,26,HR,Mid,11 tahun,206.0,Yes,3,19,3,Excellent,2,100.0,50284.970452522495,14,Branch_35
2600,25,Operations,Entry,26 tahun,153.0,Hybrid,11,14,1,Good,9,56.04844420861274,40084.483767195794,10,Branch_9
2601,35,Marketing,Mid,26 tahun,127.0,Hybrid,5,15,6,Average,5,75.06662777651688,53371.89780336429,3,Branch_30
2602,38,IT,Entry,14 tahun,185.0,No,9,7,3,Good,5,92.29011149646594,47086.83979251626,19,Branch_34
2603,48,Sales,Mid,16 tahun,177.0,Yes,5,10,8,Good,6,56.3973317831132,67514.73697693979,2,Branch_32
2604,57,Sales,Mid,7 tahun,208.0,Hybrid,5,4,3,Good,4,91.26263013169248,28386.358801876824,16,Branch_3
2605,55,Operations,Entry,9 tahun,128.0,No,9,13,9,Good,1,61.253309936523415,28754.75424063377,18,Branch_3
2606,31,Finance,Mid,13 tahun,208.0,Hybrid,7,18,10,Average,5,64.24376054316858,54006.22151191691,6,Branch_28
2607,43,HR,Mid,7 tahun,164.0,Yes,13,4,3,Good,7,57.74496639550728,49945.51890514295,9,Branch_15
2608,43,HR,Senior,1 tahun,212.0,Yes,1,19,0,Poor,4,74.67152946513211,28945.31729516403,15,Branch_23
2609,49,Sales,Entry,23 tahun,141.0,Hybrid,3,19,4,Good,3,100.0,81957.9305652043,11,Branch_11
2610,41,IT,Mid,7 tahun,133.0,No,13,13,10,Average,8,67.03219153134562,29698.385189071203,16,Branch_32
2611,23,Finance,Mid,2 tahun,171.0,No,1,12,14,Good,9,100.0,85329.33699835281,5,Branch_33
2612,44,Marketing,Entry,23 tahun,167.0,Yes,8,17,11,Average,2,43.74850923654643,45272.2335747919,19,Branch_24
2613,55,Operations,Senior,2 tahun,194.0,No,13,15,7,Average,2,58.03170032155265,45617.02717087959,1,Branch_34
2614,37,Finance,Mid,1 tahun,170.0,Yes,12,10,8,Average,6,68.14489496624128,64799.34176553971,8,Branch_28
2615,49,Sales,Mid,9 tahun,132.0,No,5,13,1,Excellent,6,78.9645226882338,41530.46730629813,3,Branch_7
2616,35,Operations,Manager,10 tahun,152.0,Hybrid,9,16,0,Good,5,81.6013640690297,30955.85241780896,4,Branch_4
2617,22,Marketing,Senior,10 tahun,122.0,Yes,0,13,8,Good,1,39.760540887737285,26196.726397374496,10,Branch_1
2618,36,Finance,Entry,5 tahun,171.0,No,9,13,2,Average,6,52.67205356876276,26096.331324409886,3,Branch_1
2619,36,IT,Mid,7 tahun,155.0,No,6,11,2,Good,2,84.58995428433897,72400.6345895961,19,Branch_20
2620,46,HR,Mid,10 tahun,170.0,Hybrid,5,6,7,Good,5,84.01364406525107,20000.0,14,Branch_19
2621,26,Marketing,Mid,22 tahun,167.0,Hybrid,12,8,12,Average,9,79.34604691854275,72261.9786386804,15,Branch_29
2622,29,Finance,Mid,24 tahun,161.0,No,8,15,11,Poor,2,56.62830632268515,71228.55732395909,0,Branch_10
2623,43,IT,Manager,26 tahun,151.0,No,4,15,13,Average,5,98.0362295533426,46851.94476426432,2,Branch_18
2624,59,Finance,Entry,3 tahun,219.0,Hybrid,7,17,11,Good,2,97.612896489194,99616.770730552,11,Branch_28
2625,35,Marketing,Mid,12 tahun,162.0,Yes,13,13,7,Average,6,97.94297882073433,33281.89843715469,1,Branch_35
2626,40,IT,Mid,20 tahun,219.0,Hybrid,6,9,8,Good,9,68.28052004617741,129517.11663889627,0,Branch_31
2627,47,Operations,Entry,16 tahun,218.0,Hybrid,10,13,14,Average,2,96.00715945919016,48839.305470599626,4,Branch_27
2628,59,HR,Mid,18 tahun,124.0,No,7,15,11,Average,6,70.52520471703212,48800.84785117312,19,Branch_11
2629,54,IT,Mid,16 tahun,131.0,Yes,5,18,10,Excellent,7,47.08079177333333,23134.04885513996,13,Branch_5
2630,33,Finance,Entry,21 tahun,202.0,Yes,12,12,10,Average,2,72.43987788895745,48846.09922555219,12,Branch_8
2631,50,Finance,Manager,27 tahun,182.0,Yes,11,6,3,Poor,4,65.88795340173097,70635.586612951,4,Branch_34
2632,33,Finance,Mid,10 tahun,146.0,Yes,4,16,9,Poor,2,63.55597674516177,65009.11467586286,3,Branch_12
2633,50,Operations,Mid,27 tahun,154.0,No,2,14,11,Poor,4,87.07102554308938,46904.51232449479,4,Branch_1
2634,41,Finance,Senior,1 tahun,193.0,Hybrid,1,10,8,Poor,9,72.82507835129853,47826.77348679053,2,Branch_31
2635,55,Finance,Entry,16 tahun,147.0,No,14,13,2,Average,9,97.61918100900948,59491.77861919169,12,Branch_4
2636,51,Operations,Mid,5 tahun,216.0,No,11,11,12,Average,3,100.0,53701.83436702527,15,Branch_5
2637,50,Sales,Mid,24 tahun,166.0,Hybrid,13,18,14,Good,8,67.32605570068785,97419.9571579907,14,Branch_30
2638,23,IT,Mid,12 tahun,166.0,No,10,19,2,Poor,1,68.8314556167075,58436.789563674734,10,Branch_24
2639,47,IT,Mid,16 tahun,162.0,No,4,12,14,Average,6,78.324685224838,250000.0,3,Branch_3
2640,22,IT,Entry,27 tahun,155.0,No,2,4,12,Good,9,79.9051274469915,62467.36914327371,3,Branch_11
2641,49,IT,Senior,22 tahun,218.0,No,1,15,11,Average,4,100.0,75852.12524177878,4,Branch_4
2642,29,Marketing,Mid,14 tahun,136.0,No,3,6,8,Average,8,51.51589492610884,39753.73609308411,0,Branch_26
2643,52,Finance,Manager,10 tahun,194.0,No,8,7,0,Good,1,79.3725611641801,64734.83444558836,1,Branch_27
2644,40,Sales,Senior,25 tahun,155.0,Hybrid,10,18,0,Average,2,78.79499993867255,33288.003838659715,9,Branch_27
2645,34,Operations,Manager,16 tahun,156.0,Yes,7,5,9,Good,8,46.103670378055256,41892.316343776845,14,Branch_6
2646,37,Marketing,Entry,29 tahun,137.0,Yes,14,8,14,Excellent,9,46.89119045360352,47117.715406631134,9,Branch_15
2647,44,IT,Mid,15 tahun,150.0,Hybrid,14,3,3,Average,5,91.32252811181016,83755.25962505933,5,Branch_30
2648,32,Operations,Manager,22 tahun,218.0,Yes,13,18,1,Good,6,54.995663544759495,67614.09910949507,16,Branch_35
2649,45,IT,Senior,11 tahun,147.0,Hybrid,7,14,4,Average,3,81.33446868399525,49755.08447516903,5,Branch_23
2650,31,Operations,Mid,25 tahun,184.0,Yes,13,4,5,Average,8,86.41161368965271,54699.20882560983,10,Branch_6
2651,26,Sales,Entry,6 tahun,150.0,Hybrid,10,4,1,Poor,4,81.39454345935505,58330.38619538208,15,Branch_4
2652,33,IT,Mid,27 tahun,146.0,No,6,7,0,Good,6,61.40476977215525,52916.04151376641,11,Branch_18
2653,57,IT,Mid,19 tahun,159.0,Hybrid,6,3,2,Good,7,53.3441422731471,43966.08208745068,1,Branch_9
2654,47,IT,Entry,15 tahun,131.0,No,4,7,5,Excellent,6,90.40978862735363,41144.32589870498,0,Branch_29
2655,49,IT,Senior,27 tahun,195.0,Yes,7,6,0,Good,6,92.19997979169302,80416.6056119869,10,Branch_13
2656,37,Marketing,Mid,29 tahun,210.0,Hybrid,3,4,13,Average,6,94.12421247970292,52485.92527458134,16,Branch_17
2657,23,Marketing,Mid,13 tahun,146.0,Hybrid,7,17,11,Poor,2,57.1750271798586,60161.34328013471,6,Branch_32
2658,47,Marketing,Mid,28 tahun,180.0,Yes,8,7,3,Average,9,80.67928178854228,65379.20137963721,8,Branch_22
2659,25,IT,Entry,19 tahun,200.0,No,10,16,7,Average,7,94.472489087745,45997.33717400023,15,Branch_4
2660,50,HR,Mid,1 tahun,144.0,No,7,11,8,Average,2,76.65846088414472,49001.68178310483,13,Branch_5
2661,37,Marketing,Mid,10 tahun,213.0,Yes,8,11,8,Good,1,80.99032470630318,48061.518747056514,8,Branch_13
2662,43,Finance,Manager,24 tahun,129.0,No,0,13,6,Good,6,84.6265379453937,76410.88882236062,19,Branch_34
2663,27,Finance,Mid,11 tahun,134.0,Hybrid,1,12,6,Good,2,63.56004057652025,27545.36081207315,4,Branch_22
2664,49,HR,Senior,12 tahun,138.0,Yes,4,12,3,Good,5,45.84152531420888,50374.17088229874,9,Branch_23
2665,32,Sales,Mid,14 tahun,187.0,No,14,19,6,Poor,6,98.62611752428448,43944.75630182823,15,Branch_3
2666,42,Finance,Entry,16 tahun,134.0,Yes,8,17,1,Good,8,68.91511237881122,33854.59665163247,8,Branch_34
2667,47,Operations,Entry,7 tahun,134.0,No,12,17,7,Good,4,76.00760853182652,34906.51022706378,8,Branch_32
2668,43,Sales,Senior,21 tahun,216.0,No,1,8,1,Average,3,75.04196592128591,58856.925791354566,8,Branch_21
2669,51,Finance,Senior,4 tahun,170.0,No,0,17,3,Good,4,99.96546498951314,67507.89896060043,13,Branch_21
2670,51,Operations,Senior,16 tahun,132.0,No,4,15,0,Average,7,97.64921504090653,25311.576611491702,12,Branch_11
2671,54,HR,Mid,28 tahun,200.0,No,6,3,0,Good,4,49.23359982196016,56335.69490381706,15,Branch_4
2672,51,Marketing,Mid,19 tahun,202.0,Hybrid,11,7,6,Good,8,95.3920341648292,63615.01745544714,8,Branch_1
2673,58,Sales,Mid,3 tahun,178.0,Hybrid,12,17,11,Good,3,100.0,74767.84769887805,16,Branch_28
2674,51,Operations,Senior,9 tahun,132.0,Hybrid,3,6,11,Average,7,49.83343272219661,38992.989696655706,17,Branch_24
2675,47,Operations,Entry,17 tahun,189.0,Yes,1,8,9,Poor,6,53.60007697363649,77767.51284200836,3,Branch_35
2676,27,Sales,Mid,4 tahun,176.0,Yes,9,14,11,Average,1,41.47020173096028,38158.293076198766,16,Branch_13
2677,25,HR,Entry,9 tahun,173.0,Yes,13,16,8,Average,9,74.50133675460647,46393.92863454054,0,Branch_34
2678,36,Sales,Entry,14 tahun,159.0,Hybrid,3,18,0,Average,5,75.0393833940299,43016.53558797268,2,Branch_11
2679,57,Finance,Entry,25 tahun,213.0,No,10,10,11,Good,5,83.85783514683247,27218.685713066905,4,Branch_17
2680,24,Marketing,Mid,26 tahun,219.0,Yes,7,13,4,Poor,3,74.12163759890797,45413.661820333255,0,Branch_35
2681,37,IT,Manager,25 tahun,150.0,No,0,4,0,Average,8,81.38973510403598,59536.49652884705,11,Branch_18
2682,37,HR,Mid,12 tahun,172.0,No,0,3,6,Average,6,65.4687487509127,39010.35401671471,10,Branch_22
2683,48,Sales,Mid,19 tahun,132.0,Hybrid,11,16,5,Good,4,67.52858528096179,26125.786319122024,12,Branch_24
2684,27,Sales,Mid,21 tahun,143.0,Yes,8,3,1,Good,2,75.72839312919548,55154.71929114155,8,Branch_19
2685,42,Sales,Entry,11 tahun,212.0,No,1,3,7,Good,4,100.0,55703.22439093862,7,Branch_21
2686,34,Sales,Mid,4 tahun,175.0,No,5,10,4,Good,1,79.9614312924258,32833.08418968886,9,Branch_8
2687,30,HR,Entry,13 tahun,165.0,No,13,16,12,Good,1,86.08608805965851,42000.25210131687,4,Branch_28
2688,29,Finance,Entry,14 tahun,121.0,No,10,15,10,Poor,8,45.78033066293108,25751.78532461837,11,Branch_5
2689,49,Finance,Entry,10 tahun,173.0,Yes,7,12,12,Average,4,74.64844581610478,49345.14818418776,2,Branch_17
2690,40,Marketing,Mid,16 tahun,199.0,Yes,11,7,5,Poor,9,100.0,48944.45819525457,6,Branch_19
2691,50,Marketing,Entry,20 tahun,195.0,Yes,9,9,3,Poor,6,75.86919119389813,67272.80209740686,16,Branch_27
2692,52,IT,Mid,20 tahun,147.0,Hybrid,9,19,2,Average,4,59.9068782230048,62422.79715939575,12,Branch_34
2693,54,Finance,Mid,6 tahun,209.0,Yes,6,13,7,Excellent,9,58.724528732771645,34115.38825205921,15,Branch_11
2694,27,Operations,Senior,12 tahun,215.0,Hybrid,14,6,6,Average,1,85.60715453484279,40433.39471126514,6,Branch_12
2695,25,HR,Entry,16 tahun,180.0,No,3,3,6,Average,4,58.28818151439849,91273.42347153192,12,Branch_21
2696,37,Finance,Mid,8 tahun,187.0,Yes,11,18,1,Excellent,7,71.97140144214097,48951.96485711804,17,Branch_11
2697,24,Finance,Manager,3 tahun,124.0,Hybrid,14,17,12,Poor,3,63.12611235810253,53751.63448902093,4,Branch_28
2698,46,Marketing,Entry,15 tahun,136.0,Yes,4,17,2,Poor,6,66.89250854179657,23252.104414284964,17,Branch_5
2699,38,Operations,Senior,29 tahun,139.0,Hybrid,9,10,0,Average,4,70.89389289982819,50030.82920758228,5,Branch_17
2700,43,Sales,Entry,18 tahun,159.0,No,0,11,4,Good,9,95.7192721212096,75688.52695739463,11,Branch_20
2701,39,Sales,Mid,8 tahun,212.0,Yes,5,16,6,Good,4,70.05052608743829,65407.57434577777,8,Branch_12
2702,53,Operations,Entry,9 tahun,208.0,Hybrid,2,14,14,Average,4,100.0,115182.64878176631,6,Branch_6
2703,39,Finance,Mid,29 tahun,201.0,No,12,8,2,Excellent,9,81.09496156438018,27949.736723193528,3,Branch_17
2704,47,Finance,Manager,23 tahun,141.0,No,1,4,8,Poor,2,55.885056604990304,64943.44551726888,12,Branch_19
2705,46,Finance,Mid,20 tahun,172.0,Yes,6,5,7,Good,2,74.91958151196543,74146.47253831978,9,Branch_26
2706,49,Finance,Entry,23 tahun,191.0,No,3,11,13,Poor,4,67.54726949767884,65433.37872039573,0,Branch_32
2707,44,Marketing,Senior,12 tahun,159.0,Hybrid,5,15,2,Average,2,70.98690822970148,45315.886629427456,14,Branch_6
2708,29,Finance,Mid,28 tahun,166.0,No,10,10,13,Good,2,98.20219531684728,46325.95184443473,6,Branch_11
2709,34,Finance,Manager,15 tahun,193.0,No,2,7,7,Excellent,6,90.4932950780456,53795.33697067644,9,Branch_33
2710,31,IT,Entry,12 tahun,200.0,Yes,9,17,13,Average,4,89.7950812400536,52650.264729078255,2,Branch_24
2711,24,IT,Entry,15 tahun,165.0,No,8,9,0,Excellent,3,79.2545180136543,66459.71452200916,18,Branch_23
2712,31,Finance,Mid,18 tahun,177.0,Yes,2,6,3,Excellent,4,84.57917269114316,52228.73100589926,8,Branch_15
2713,36,Sales,Manager,3 tahun,203.0,Hybrid,1,7,8,Excellent,7,58.7037582474517,25864.66335721894,8,Branch_27
2714,45,HR,Senior,29 tahun,146.0,No,6,14,12,Average,7,75.57604898460558,64479.39565842418,14,Branch_11
2715,31,IT,Mid,26 tahun,121.0,Yes,2,16,4,Poor,3,84.32610199251928,20000.0,18,Branch_17
2716,42,Finance,Mid,18 tahun,171.0,No,0,14,5,Average,9,79.28587705624128,27347.11944671051,8,Branch_14
2717,59,IT,Mid,8 tahun,148.0,Yes,4,13,13,Good,2,57.772609776424034,44985.00501228433,8,Branch_27
2718,49,Finance,Manager,18 tahun,125.0,Hybrid,6,12,6,Average,2,91.53285403000916,95506.14925098496,15,Branch_18
2719,23,Sales,Senior,10 tahun,139.0,No,9,16,12,Good,3,81.49848533216338,69703.17012927202,10,Branch_28
2720,25,Sales,Entry,7 tahun,202.0,Yes,1,12,4,Average,6,73.68420319579606,47862.096441463975,12,Branch_4
2721,24,IT,Mid,2 tahun,194.0,Hybrid,4,5,9,Average,6,89.15689206313507,100473.96581423556,7,Branch_7
2722,53,Operations,Senior,18 tahun,137.0,Hybrid,7,19,12,Average,7,62.45331208452965,67002.69434946046,1,Branch_35
2723,55,HR,Mid,10 tahun,141.0,Hybrid,6,7,7,Good,7,55.28411953968165,51657.06150455732,7,Branch_9
2724,37,HR,Mid,19 tahun,170.0,No,5,7,12,Average,1,91.00037270777774,52837.9912101672,5,Branch_8
2725,25,HR,Entry,3 tahun,133.0,Yes,5,5,7,Average,7,86.3538887253622,48469.0514511039,6,Branch_17
2726,39,Operations,Senior,6 tahun,125.0,Yes,3,10,6,Poor,1,72.64056754088,20000.0,2,Branch_17
2727,49,HR,Mid,10 tahun,140.0,Yes,9,15,10,Good,3,84.01806089002399,41887.22822024004,13,Branch_33
2728,27,Marketing,Senior,20 tahun,183.0,Yes,7,18,9,Good,4,97.29617999422923,31425.330370646287,19,Branch_32
2729,22,Operations,Senior,25 tahun,127.0,Hybrid,5,18,9,Good,6,52.89917556454481,52477.54274564545,7,Branch_8
2730,37,Finance,Mid,10 tahun,137.0,Hybrid,11,10,12,Excellent,4,51.08683903568221,31546.300546578328,6,Branch_19
2731,58,Sales,Mid,13 tahun,141.0,No,9,3,10,Average,4,82.35237634137233,58613.323586167295,11,Branch_3
2732,30,HR,Entry,21 tahun,189.0,Yes,6,15,10,Good,6,87.76862867591423,45248.94230964,5,Branch_5
2733,38,Marketing,Mid,24 tahun,218.0,No,6,16,8,Average,4,96.88324657958348,42102.65200508885,16,Branch_13
2734,57,Finance,Mid,10 tahun,173.0,No,6,15,2,Average,6,71.90562154819249,125145.21262346202,4,Branch_31
2735,55,Marketing,Mid,19 tahun,154.0,No,13,8,10,Average,3,98.37917631163523,108513.8838187954,19,Branch_16
2736,52,IT,Entry,14 tahun,164.0,No,10,12,13,Excellent,8,54.68515652931727,40191.2739545544,18,Branch_32
2737,55,IT,Mid,29 tahun,172.0,Yes,0,15,6,Excellent,6,97.19401049745998,155174.25932242692,9,Branch_22
2738,58,HR,Senior,11 tahun,173.0,No,2,15,5,Excellent,9,64.7028390521259,62390.54574523834,13,Branch_29
2739,55,IT,Mid,25 tahun,176.0,Hybrid,9,6,0,Average,2,83.22449063005911,100880.01313536892,11,Branch_22
2740,58,Finance,Senior,20 tahun,192.0,No,6,10,5,Good,5,95.92739314679592,49815.51290131865,17,Branch_3
2741,22,HR,Mid,16 tahun,199.0,No,3,12,10,Poor,9,58.68767474291472,43039.79441966063,7,Branch_10
2742,36,Marketing,Senior,3 tahun,194.0,No,11,8,0,Poor,6,98.44994083407764,74393.15747436396,8,Branch_21
2743,52,Sales,Senior,13 tahun,167.0,No,4,16,14,Average,6,78.94811194909269,30683.405467455515,16,Branch_16
2744,35,Sales,Mid,14 tahun,204.0,Yes,4,7,10,Average,7,100.0,52267.39818031875,10,Branch_12
2745,55,Sales,Senior,9 tahun,161.0,No,5,17,7,Good,7,55.69937220212658,42257.06979640931,13,Branch_2
2746,22,Finance,Entry,4 tahun,142.0,No,14,9,5,Average,5,45.16154419295341,35249.032875475925,11,Branch_24
2747,56,HR,Senior,22 tahun,173.0,No,7,4,12,Average,8,77.08471185554318,79711.3861990679,10,Branch_35
2748,32,IT,Senior,14 tahun,181.0,No,12,10,5,Poor,6,87.21821274227148,29362.8227192231,7,Branch_30
2749,38,HR,Manager,11 tahun,177.0,No,5,9,13,Good,4,67.06081743621071,69599.29559661681,11,Branch_30
2750,26,Marketing,Entry,12 tahun,164.0,Yes,8,19,6,Poor,1,63.58715394392401,30072.976763952436,13,Branch_35
2751,38,Sales,Entry,23 tahun,203.0,Yes,7,3,9,Good,1,70.32865084405266,43278.32380764643,11,Branch_19
2752,39,HR,Entry,17 tahun,200.0,Hybrid,13,8,9,Poor,6,100.0,74412.81559662188,9,Branch_8
2753,46,Operations,Mid,16 tahun,214.0,Yes,12,10,4,Average,5,95.81766062773404,43710.42498977893,12,Branch_26
2754,56,HR,Entry,1 tahun,201.0,Yes,3,6,2,Average,3,61.290096306240514,50701.13405232145,16,Branch_7
2755,37,Operations,Mid,16 tahun,148.0,No,5,7,12,Excellent,6,57.096965116908606,73204.2254671226,19,Branch_30
2756,44,IT,Senior,18 tahun,167.0,Hybrid,14,15,1,Excellent,8,72.71671879066798,54753.84560801517,19,Branch_7
2757,42,Marketing,Mid,26 tahun,151.0,No,10,14,14,Good,5,59.75581640213274,56807.76989100711,16,Branch_3
2758,50,Sales,Entry,11 tahun,127.0,No,9,15,7,Good,4,48.63279287375117,58151.90280566936,7,Branch_1
2759,57,IT,Senior,29 tahun,169.0,Hybrid,4,4,5,Average,8,60.99311917919941,56173.15337855816,0,Branch_25
2760,31,Sales,Mid,2 tahun,128.0,No,0,15,1,Average,4,77.47976284543135,33493.56527993299,1,Branch_1
2761,41,IT,Entry,16 tahun,165.0,No,10,10,4,Average,8,55.7581840149648,39109.03846190607,18,Branch_15
2762,28,IT,Mid,16 tahun,125.0,Yes,14,18,6,Good,6,81.31647608881728,31097.30689707849,12,Branch_13
2763,51,Sales,Mid,27 tahun,188.0,Yes,13,16,2,Excellent,5,95.8923342629696,66213.45155938138,8,Branch_8
2764,50,Marketing,Mid,4 tahun,164.0,Yes,3,3,9,Good,1,48.58030187849032,35100.87787995267,18,Branch_5
2765,22,Finance,Entry,1 tahun,196.0,Yes,0,6,12,Good,2,84.4670017561913,45870.809934288365,10,Branch_9
2766,42,Finance,Manager,26 tahun,144.0,Yes,1,8,7,Average,7,59.63520322516609,105705.00949408545,19,Branch_1
2767,28,HR,Mid,11 tahun,214.0,No,6,7,9,Average,2,90.14520466304964,68687.00709267915,16,Branch_35
2768,25,HR,Entry,7 tahun,217.0,Hybrid,13,18,12,Excellent,3,69.96910336594038,54031.04698430527,12,Branch_2
2769,36,Marketing,Entry,6 tahun,200.0,No,5,7,5,Good,7,61.86633721829618,57792.88797469315,1,Branch_23
2770,55,Finance,Entry,6 tahun,176.0,Hybrid,5,11,1,Excellent,3,91.50947459691614,61902.80205146343,12,Branch_9
2771,23,HR,Senior,25 tahun,145.0,No,4,14,6,Poor,9,60.50459930660104,32576.983513222927,16,Branch_34
2772,58,Finance,Mid,20 tahun,203.0,No,9,11,4,Average,9,90.44221848520682,37811.28081257199,1,Branch_14
